name,description,implementation status,effect_level,version
BitGet,,,,6
BitLength,Returns the number of bits needed to represent an integer,✅,pure,6
BitNot,Returns the bitwise NOT of an integer,✅,pure,4
BitOr,Returns the bitwise OR of integers,✅,pure,4
BitRate,,,,12.3
BitSet,,,,6
BitShiftLeft,,,,6
BitShiftRight,,,,6
BitXor,Returns the bitwise XOR of integers,✅,pure,4
BiweightLocation,,,,11.1
BiweightMidvariance,,,,11.1
Black,,,,5.1
BlackmanHarrisWindow,,,,9
BlackmanNuttallWindow,,,,9
BlackmanWindow,,,,9
Blank,,,,1
BlankNullSequence,,,,1
BlankSequence,,,,1
Blend,,,,6
Block,Scopes local variables within a block of code,✅,pure,1
BlockchainAddressData,,,,12
BlockchainBase,,,,11.3
BlockchainBlockData,,,,11.3
BlockchainContractValue,,,,12
BlockchainData,,,,11.3
BlockchainGet,,,,11.3
BlockchainKeyEncode,,,,12
BlockchainPut,,,,11.3
BlockchainTokenData,,,,12
BlockchainTransaction,,,,12
BlockchainTransactionData,,,,11.3
BlockchainTransactionSign,,,,12
BlockchainTransactionSubmit,,,,12
BlockDiagonalMatrix,,,,13.1
BlockLowerTriangularMatrix,,,,13.1
BlockMap,,,,10.2
BlockRandom,,,,6
BlockUpperTriangularMatrix,,,,13.1
BlomqvistBeta,,,,9
BlomqvistBetaTest,,,,9
Blue,,,,5.1
Blur,Applies Gaussian blur to an image,✅,pure,7
Blurring,,,,13.2
BodePlot,,,,8
BohmanWindow,,,,9
Bold,,,,6
Bond,,,,12
BondCount,,,,12
BondLabels,,,,13
BondLabelStyle,,,,13
BondList,,,,12
BondQ,,,,12
Bookmarks,,,,7
Boole,Converts True to 1 and False to 0,✅,pure,5.1
BooleanConsecutiveFunction,,,,9
BooleanConvert,,,,7
BooleanCountingFunction,,,,7
BooleanFunction,,,,7
BooleanGraph,,,,8
BooleanMaxterms,,,,7
BooleanMinimize,,,,7
BooleanMinterms,,,,7
BooleanQ,Tests if an expression is True or False,✅,pure,10
BooleanRegion,,,,10
Booleans,,,,4
BooleanStrings,,,,10
BooleanTable,,,,7
BooleanVariables,,,,7
BorderDimensions,,,,8
BorelTannerDistribution,,,,8
Bottom,,,,1
BottomHatTransform,,,,7
BoundaryDiscretizeGraphics,,,,10
BoundaryDiscretizeRegion,,,,10
BoundaryMesh,,,,10
BoundaryMeshRegion,,,,10
BoundaryMeshRegionQ,,,,10
BoundaryStyle,,,,6
BoundedRegionQ,,,,10
BoundingRegion,,,,10.4
BoxData,,,,8
